userId;userName;mediaId;tags;createdTime;locationName;latitude;longitude
44578993;supremmedeluxe;44578993;[quetrabajeritavlc];1433163352;La3;39.4604416;-0.33553
1508238344;opticameseguer;1508238344;[opticameseguervalencia, supersunglasses, retrosuperfuture, superflattopfrancisblackgold, gafasdesol, superonstreet, flattop, optica, occhialidasole, opticameseguer, occhiali, superflat];1433163337;OPTICA MESEGUER;39.46804;-0.32864
444601532;anapiul22;444601532;[me, summer, love, instasummer, monday, june, instagood, fun, instame, smile, instadaily, nice, picoftheday, cool];1433167191;Valencia;39.466666667;-0.383333333
16938109;yasmin053;16938109;[vinoblanco, seafood, imsofull, lunch, tour, paella, valencia, goodtimesgoodpeople];1433167114;El 16;39.47903;-0.37759
2580419;violatapinassi;2580419;[beautiful, cute, fashion, love, picoftheday, summer, instalike, instamood, tbt, igers, valencia, follow, instadaily, instasize, friends, girl, spain, me, tflers, instagood, amazing, bestoftheday, photooftheday, fun, smile, vscocam, spinslovesme, followme, happy];1433167059;Valencia, Spania;39.472607311;-0.37546892
1427695676;maksym_tokarskyi;1427695676;[];1433170798;El Saler Centro Comercial;39.453266328;-0.354427999
227135365;katarinabrej;227135365;[miguelete, españa, instatravel, plazadelareina, catedral, valencia, lovevalencia, spain];1433170748;Valencia;39.466666667;-0.383333333
578818514;_fefe1601_;578818514;[];1433170737;Palau de la Música;39.466031719;-0.360771339
180999902;niozeka;180999902;[];1433170531;La Mas Bonita Ruzafa;39.460500021;-0.372531098
1381270073;vgastronomicos;1381270073;[igersspain, cooking, foodie, fermentados, foodporn, conservas, instafood, igers, cook, showcooking, igerscomunitat, igersvalencia, curso, gastronomía, instagramers, viernesgastronómicos, valencia, foodoftheday];1433170466;Fierro;39.4625;-0.372777778
1381270073;vgastronomicos;1381270073;[igersspain, cooking, foodie, fermentados, foodporn, conservas, instafood, igers, cook, showcooking, igerscomunitat, igersvalencia, curso, gastronomía, instagramers, viernesgastronómicos, valencia, foodoftheday];1433170409;Fierro;39.4625;-0.372777778
146257700;alopezc72;146257700;[estaes_valencia, fotomovil_es, world_lenz, bnw_captures, estaes_espania, alopezc72x3photoseries, loves_valencia, wanderlust, valenciagrafias, valenfornia, youmobile, wonderlust, jj_forum_1333, postcardsfromtheworld, instasyon, igersvalencia, places_wow, movilgrafiadeldia010615, ig_valencia, fotonline_es, bwstyles_gf, clikcat, valencia, worldercoolest, bngrafias];1433170390;L'Àgora;39.456592;-0.353322
1381270073;vgastronomicos;1381270073;[igersspain, cooking, foodie, fermentados, foodporn, conservas, instafood, igers, cook, showcooking, igerscomunitat, igersvalencia, curso, gastronomía, instagramers, viernesgastronómicos, valencia, foodoftheday];1433170353;Fierro;39.4625;-0.372777778
467889349;teresamarin8;467889349;[];1433174355;Guadarrama;39.478602;-0.3523873
16938109;yasmin053;16938109;[visitspain, steps, prayers, workout, church, valenciacathedral, spain];1433177977;Valencia Cathedral;39.475833333;-0.375
454348897;tirkainwonderland;454348897;[summer, monday, happyday, june, photoday, snoopy, follow, ready, fff, spain, tirka, happymonday, sunnyday, mondayfunday, loveit, today];1433177968;Plaza de España;39.465735516;-0.381251985
1249421780;elissagia;1249421780;[valencia, mirador, playa];1433177934;Port of Valencia;39.4457;-0.3199
348301896;luc_nten;348301896;[];1433177817;☕️☕️☕️☕️;39.46703;-0.329178333
44202786;misseslin;44202786;[sowasvonnichthealthy, valenciadiary];1433177795;Horchatería Santa Catalina;39.47387;-0.37623
196031515;elsitiodemirecreovlc;196031515;[losoutfitsdeelsitiodemirecreo, summer, style, shorts, loslooksdeelsitiodemirecreovalencia, top, blusa];1433177778;Elsitiodemirecreo Valencia;39.4671593;-0.37168
5967037;dinavolodina;5967037;[];1433181582;Puente De Las Flores (Valencia);39.47148562;-0.364881063
207330007;anokhin_n;207330007;[жакаранда];1433181446;Jardines del Real - Jardines de Viveros;39.479342826;-0.368157686
39898250;wrongsounds;39898250;[];1433181424;Hunstanton Pier - Deaf Havana;39.486435249;-0.371751789
2102430287;rachelsweethome;2102430287;[livelife, hogar, bienvenido, always, welcome, milugar, lover, sweet, happy, homework, furniture];1433181390;Rachel   Sweet   H♡me;39.4737566;-0.3865207
